"source","target","A","B","diff","edge_type","key_to_key","comparison","mult_seed123","mult_seed456","mult_seed789","mult_seed1011","intercept_seed123","sender_seed123","receiver_seed123","fitted_seed123","residual_seed123","min_chain_mean","max_chain_mean","chain_mean_sign","source_is_key","target_is_key"
"ss_so","so_1_3",0.763359918349102,0.308783730115607,0.454576188233495,"both_observed",TRUE,"cdtally_AT",0.180616687599265,0.18148855885759,0.183576300210603,0.173721471178978,-0.0060356292516486,-0.0116679202950874,0.122724377924356,0.285637515976885,0.16893867225661,0.173721471178978,0.183576300210603,"all_positive",TRUE,TRUE
"so_ok","wb",0.736504571572836,0.591285077351087,0.145219494221749,"both_observed",FALSE,"cdtally_AT",0.0894369724393854,0.0855188330148577,0.091242850007952,0.0905001869744032,-0.0060356292516486,-0.00129391860686285,-0.00553659243452151,0.0765708321463524,0.0686486620753966,0.0855188330148577,0.091242850007952,"all_positive",TRUE,FALSE
"so_ok","ss_so",0.0372109024309892,0.109981024075317,-0.0727701216443278,"both_observed",TRUE,"cdtally_AT",-0.0172641604708082,-0.0183209202821214,-0.0142884844186453,-0.0168673105683852,-0.0060356292516486,-0.00129391860686285,0.0249739322560559,0.000380223926736267,-0.0731503455710641,-0.0183209202821214,-0.0142884844186453,"all_negative",TRUE,TRUE
"ss_so","so_1_3",0.641803877371961,0.337956302152587,0.303847575219374,"both_observed",TRUE,"cdtally_SK_GB",0.0436301975106916,0.0427470732669469,0.0386494593308088,0.0435314016764102,-0.00832408223894084,-0.0296757875567375,0.263381906928737,0.26901223464375,0.0348353405756235,0.0386494593308088,0.0436301975106916,"all_positive",TRUE,TRUE
"so_ok","ss_so",0,0.135637820753924,-0.135637820753924,"B_only_edge",TRUE,"cdtally_SK_GB",-0.0669753754590806,-0.0695994881281662,-0.0658027888246364,-0.0709116433108291,-0.00832408223894084,0.0393876385871513,-0.0479623734446181,-0.0838741925554883,-0.0517636281984357,-0.0709116433108291,-0.0658027888246364,"all_negative",TRUE,TRUE
"wb_pg_8_4_reason_6","wb_pg_8_4_reason_4",0.698074316864477,0.0663739306754719,0.631700386189005,"both_observed",FALSE,"lamp_GB",0.552964930697526,0.428979250194296,0.437344017075719,0.635816097195364,-7.65528479942725e-05,-0.0126219298105212,0.0702056694891216,0.610472117528132,0.0212282686608731,0.428979250194296,0.635816097195364,"all_positive",FALSE,TRUE
"wb_pg_8_4_reason_6","wb_pg_8_4_request_1",0.301925683135522,0.676859800121679,-0.374934116986157,"both_observed",FALSE,"lamp_GB",-0.361275475264187,-0.377319442541241,-0.404867480460045,-0.325785190500436,-7.65528479942725e-05,-0.0126219298105212,0.0106774119633007,-0.363296545959401,-0.0116375710267556,-0.404867480460045,-0.325785190500436,"all_negative",FALSE,TRUE
"em_m_view_305","wb",0.80912279385068,0.404784800821074,0.404337993029606,"both_observed",TRUE,"lamp_GB",0.225887989492395,0.230507735548676,0.226607175899197,0.229602975323923,-7.65528479942725e-05,0.0112980372160502,0.0354564527486346,0.272565926609085,0.131772066420521,0.225887989492395,0.230507735548676,"all_positive",TRUE,TRUE
"em_m_view_305","keypress",0.0932761417937882,0.282953663482377,-0.189677521688589,"both_observed",TRUE,"lamp_GB",-0.200145144629048,-0.19820475111409,-0.199111107233702,-0.212412509226085,-7.65528479942725e-05,0.0112980372160502,-0.0039041357868779,-0.19282779604787,0.00315027435928106,-0.212412509226085,-0.19820475111409,"all_negative",TRUE,TRUE
"wb_pg_8_4_reason_6","wb_pg_8_4_reason_4",0.897063890545368,0.698074316864477,0.198989573680891,"both_observed",FALSE,"lamp_SK_GB",0.140690246945531,0.148112377723153,0.163261565598278,0.142091360281648,-0.00372197314822066,0.0247014474020852,0.00917694694815748,0.170846668147553,0.0281429055333377,0.140690246945531,0.163261565598278,"all_positive",FALSE,TRUE
