"comparison","node","is_key_action","outgoing_analyzed_dyads","incoming_analyzed_dyads","sender_seed123","receiver_seed123","sender_seed456","receiver_seed456","sender_seed789","receiver_seed789","sender_seed1011","receiver_seed1011"
"cdtally_AT","wb_t_book",FALSE,10,15,0.0206422671240849,-0.0233821484257667,0.0229149078591373,-0.0230576219603512,0.0226552908088043,-0.0236993039821742,0.0218246823748193,-0.0250566740838819
"cdtally_AT","book_a_c",FALSE,13,4,0.0347412234722662,-0.0144836395538999,0.0341227705685992,-0.0162971419753764,0.033901419895238,-0.0165079002447999,0.0321152899020434,-0.0149989665916334
"cdtally_AT","ss",FALSE,20,31,-0.00634589156573483,0.0664587435451726,-0.00379199438643361,0.0641147472717474,-0.00501113803905107,0.0662519754554029,-0.00539879684668138,0.0645519774743334
"cdtally_AT","ss_so",TRUE,18,14,-0.0116679202950874,0.0249739322560559,-0.00959766495184887,0.0237747997181117,-0.00865363389881459,0.0235528792804544,-0.0100906759971724,0.0238040050017673
"cdtally_AT","so_1_3",TRUE,11,7,0.00551402216101582,0.122724377924356,0.00807561681803683,0.122341294063245,0.0079523383864891,0.118677622722475,0.00718615834089385,0.128417916644766
"cdtally_AT","so_ok",TRUE,12,8,-0.00129391860686285,-0.0129886057254097,0.00205175778229703,-0.00495416678088212,-0.00178624776894164,0.000473789333234924,-0.000917560425628432,-0.0109768206375834
"cdtally_AT","wb",FALSE,15,31,0.0190730650264031,-0.00553659243452151,0.0211203821940913,-0.00212629177872544,0.0204583151786977,-0.0058624693206488,0.0195211816271679,-0.00743047892533142
"cdtally_AT","combobox",FALSE,13,16,0.0186049574668024,-0.120354154527752,0.0187164740230155,-0.119799041081069,0.0174749792207714,-0.121962704876563,0.0160249293848587,-0.122300288225255
"cdtally_AT","wb_t_f",FALSE,13,11,0.0272375022964158,-0.0252065838353491,0.0287685792489065,-0.0242909769537321,0.0285487096982659,-0.0244124980762606,0.0272144427900139,-0.026719201414489
"cdtally_AT","wb_t_b",FALSE,14,13,0.0250985520528986,-0.00316517378222934,0.0269322477291459,-0.00266752575088895,0.0255049540722103,-0.00451425014031057,0.0251379210392929,-0.0055823191767965
