"source","target","A","B","diff","edge_type","key_to_key","comparison","mult_seed123","mult_seed456","mult_seed789","mult_seed1011","intercept_seed123","sender_seed123","receiver_seed123","fitted_seed123","residual_seed123","min_chain_mean","max_chain_mean","chain_mean_sign","source_is_key","target_is_key"
"wb","wb_t_book",0.00229377146075315,0.0078574819510502,-0.00556371049029705,"both_observed",FALSE,"cdtally_AT",0.00788222877956417,0.00714181251295602,0.00809770377950293,0.00870256828177459,-0.0060356292516486,0.0190730650264031,-0.0233821484257667,-0.00246248387144808,-0.00310122661884897,0.00714181251295602,0.00870256828177459,"all_positive",FALSE,FALSE
"wb_t_f","wb_t_book",0,0.0384708754672058,-0.0384708754672058,"B_only_edge",FALSE,"cdtally_AT",-0.00638143062377684,-0.0060465420578885,-0.00667483641721096,-0.00474045970494981,-0.0060356292516486,0.0272375022964158,-0.0233821484257667,-0.00856170600477632,-0.0299091694624295,-0.00667483641721096,-0.00474045970494981,"all_negative",FALSE,FALSE
"wb_t_b","wb_t_book",0.0390690159540299,0,0.0390690159540299,"A_only_edge",FALSE,"cdtally_AT",7.38040199543726e-05,-0.000430465768686401,0.000253409846956921,0.00159954187239459,-0.0060356292516486,0.0250985520528986,-0.0233821484257667,-0.00424542160456237,0.0433144375585923,-0.000430465768686401,0.00159954187239459,"mixed_or_zero",FALSE,FALSE
"wb_t_ho","wb_t_book",0.272614442206435,0.266184196456756,0.00643024574967899,"both_observed",FALSE,"cdtally_AT",-0.000501224467281685,8.68485751224186e-05,0.000103834736072829,0.00100355440971142,-0.0060356292516486,0.0248081302364554,-0.0233821484257667,-0.00511087190824159,0.0115411176579206,-0.000501224467281685,0.00100355440971142,"mixed_or_zero",FALSE,FALSE
"keypress","wb_t_book",0.0113971879718543,0.0227999721387329,-0.0114027841668786,"both_observed",FALSE,"cdtally_AT",0.00314016389554635,0.00242489724231769,0.00361127508132272,0.00385769874907828,-0.0060356292516486,0.00785531873934244,-0.0233821484257667,-0.0184222950425265,0.00701951087564792,0.00242489724231769,0.00385769874907828,"all_positive",FALSE,FALSE
"wb_f","wb_t_book",0.0466232496054539,0.0752982662675588,-0.0286750166621049,"both_observed",FALSE,"cdtally_AT",-0.0146069487259916,-0.0144238585574103,-0.0146267040732898,-0.0127268081461097,-0.0060356292516486,0.0283670900268097,-0.0233821484257667,-0.0156576363765972,-0.0130173802855077,-0.0146267040732898,-0.0127268081461097,"all_negative",FALSE,FALSE
"wb_t_h","wb_t_book",0.0668971442736858,0.0678641921615154,-0.0009670478878296,"both_observed",FALSE,"cdtally_AT",-0.0099612786712594,-0.0100957645948705,-0.0102156899083085,-0.00811904546938908,-0.0060356292516486,0.0256441418178028,-0.0233821484257667,-0.0137349145308719,0.0127678666430423,-0.0102156899083085,-0.00811904546938908,"all_negative",FALSE,FALSE
"split_v","wb_t_book",0.00591045492842139,0,0.00591045492842139,"A_only_edge",FALSE,"cdtally_AT",0.00577039560480316,0.0045599168241315,0.00575827824394129,0.00633908927948128,-0.0060356292516486,0.0103669345075152,-0.0233821484257667,-0.0132804475650969,0.0191909024935183,0.0045599168241315,0.00633908927948128,"all_positive",FALSE,FALSE
"wb_h","wb_t_book",0,0.0432543386029852,-0.0432543386029852,"B_only_edge",FALSE,"cdtally_AT",-0.0224440696922364,-0.0226296044254286,-0.0224393421688514,-0.0204149645859651,-0.0060356292516486,0.0212918825860098,-0.0233821484257667,-0.030569964783642,-0.0126843738193432,-0.0226296044254286,-0.0204149645859651,"all_negative",FALSE,FALSE
"wb_t_sch","wb_t_book",0.130359120485074,0.142773521168154,-0.01241440068308,"both_observed",FALSE,"cdtally_AT",-0.00384454969671584,-0.0040473732914594,-0.00412362076315595,-0.00255505063743114,-0.0060356292516486,0.0241703126588231,-0.0233821484257667,-0.00909201471530802,-0.00332238596777198,-0.00412362076315595,-0.00255505063743114,"all_negative",FALSE,FALSE
"wb_e","wb_t_book",0,0.0602229033027274,-0.0602229033027274,"B_only_edge",FALSE,"cdtally_AT",-0.0056343068037825,-0.00578229574542599,-0.00572166286684138,-0.00469586304083148,-0.0060356292516486,0.022545122006679,-0.0233821484257667,-0.0125069624745188,-0.0477159408282086,-0.00578229574542599,-0.00469586304083148,"all_negative",FALSE,FALSE
"split_h","wb_t_book",0.00371143411272548,0,0.00371143411272548,"A_only_edge",FALSE,"cdtally_AT",0.00559537172116957,0.00554559752091588,0.00606198401530715,0.00663078487164948,-0.0060356292516486,0.0130595220113932,-0.0233821484257667,-0.0107628839448525,0.014474318057578,0.00554559752091588,0.00663078487164948,"all_positive",FALSE,FALSE
"help_a","wb_t_book",0.0119895193950501,0,0.0119895193950501,"A_only_edge",FALSE,"cdtally_AT",-0.0191448049764233,-0.0187288832117711,-0.0183753237770164,-0.0158051243137578,-0.0060356292516486,0.0306290875285986,-0.0233821484257667,-0.01793349512524,0.0299230145202901,-0.0191448049764233,-0.0158051243137578,"all_negative",FALSE,FALSE
"wb_book","wb_t_book",0.0615973225477676,0.100060921388613,-0.0384635988408454,"both_observed",FALSE,"cdtally_AT",-0.0300806341198839,-0.0281392425509578,-0.0294214355062785,-0.0267250398512302,-0.0060356292516486,0.0361252126826314,-0.0233821484257667,-0.0233731991146677,-0.0150903997261777,-0.0300806341198839,-0.0267250398512302,"all_negative",FALSE,FALSE
"book_a_ok","wb_t_book",0,0.226955324722919,-0.226955324722919,"B_only_edge",FALSE,"cdtally_AT",-0.0733550506165954,-0.0770438307598607,-0.0792424391744845,-0.071137343191481,-0.0060356292516486,-0.107683428752003,-0.0233821484257667,-0.210456257046014,-0.0164990676769053,-0.0792424391744845,-0.071137343191481,"all_negative",FALSE,FALSE
"wb_t_book","book_a_c",0.472590665601228,0.480532197098511,-0.00794153149728305,"both_observed",FALSE,"cdtally_AT",-0.000845196333788585,-0.0016265104699764,-0.00169843998490541,-0.0035638648228046,-0.0060356292516486,0.0206422671240849,-0.0144836395538999,-0.000722198015252095,-0.00721933348203095,-0.0035638648228046,-0.000845196333788585,"all_negative",FALSE,FALSE
"wb_t_ho","book_a_c",0.0155575050693713,0,0.0155575050693713,"A_only_edge",FALSE,"cdtally_AT",0.00196892873597402,0.00463421166554552,0.00296199833900521,0.00124688674046313,-0.0060356292516486,0.0248081302364554,-0.0144836395538999,0.00625779016688095,0.00929971490249035,0.00124688674046313,0.00463421166554552,"all_positive",FALSE,FALSE
"keypress","book_a_c",0.00425902844247969,0,0.00425902844247969,"A_only_edge",FALSE,"cdtally_AT",0.00351825560939188,0.00403352326299584,0.00429415487098435,0.00275705030737522,-0.0060356292516486,0.00785531873934244,-0.0144836395538999,-0.00914569445681414,0.0134047228992938,0.00275705030737522,0.00429415487098435,"all_positive",FALSE,FALSE
"wb_t_sch","book_a_c",0,0.0262692519232452,-0.0262692519232452,"B_only_edge",FALSE,"cdtally_AT",-0.00986645933272211,-0.00833711765309905,-0.00794817182621273,-0.00978683626103212,-0.0060356292516486,0.0241703126588231,-0.0144836395538999,-0.00621541547944744,-0.0200538364437978,-0.00986645933272211,-0.00794817182621273,"all_negative",FALSE,FALSE
"wb_t_book","ss",0.065414667683173,0,0.065414667683173,"A_only_edge",FALSE,"cdtally_AT",-0.0199098674362283,-0.0182234824389625,-0.0210331240062636,-0.0195809726046392,-0.0060356292516486,0.0206422671240849,0.0664587435451726,0.0611555139813807,0.00425915370179228,-0.0210331240062636,-0.0182234824389625,"all_negative",FALSE,FALSE
"book_a_c","ss",0.24475287271551,0,0.24475287271551,"A_only_edge",FALSE,"cdtally_AT",0.0674949225108594,0.0696905077049802,0.0674095754733324,0.0706961393432675,-0.0060356292516486,0.0347412234722662,0.0664587435451726,0.16265926027665,0.0820936124388603,0.0674095754733324,0.0706961393432675,"all_positive",FALSE,FALSE
"ss_so","ss",0,0.0454615531709764,-0.0454615531709764,"B_only_edge",FALSE,"cdtally_AT",-0.055214716574206,-0.0446082652564085,-0.0526456175623046,-0.0523062278598071,-0.0060356292516486,-0.0116679202950874,0.0664587435451726,-0.00645952257576939,-0.039002030595207,-0.055214716574206,-0.0446082652564085,"all_negative",TRUE,FALSE
"so_1_3","ss",0,0.0125936868011533,-0.0125936868011533,"B_only_edge",FALSE,"cdtally_AT",-0.0438085639730541,-0.0394823545053264,-0.0431700243378503,-0.0424725384131096,-0.0060356292516486,0.00551402216101582,0.0664587435451726,0.0221285724814858,-0.0347222592826391,-0.0438085639730541,-0.0394823545053264,"all_negative",TRUE,FALSE
"so_ok","ss",0.10045131548343,0.109043376260225,-0.008592060776795,"both_observed",FALSE,"cdtally_AT",-0.0345536100389527,-0.0328298437950505,-0.0330573664138048,-0.0338805204230587,-0.0060356292516486,-0.00129391860686285,0.0664587435451726,0.0245755856477085,-0.0331676464245035,-0.0345536100389527,-0.0328298437950505,"all_negative",TRUE,FALSE
"wb","ss",0.521952187032166,0.499238957686602,0.022713229345564,"both_observed",FALSE,"cdtally_AT",-0.0346438063510154,-0.0336132251650314,-0.0364000182678438,-0.0344502929459878,-0.0060356292516486,0.0190730650264031,0.0664587435451726,0.0448523729689117,-0.0221391436233477,-0.0364000182678438,-0.0336132251650314,"all_negative",FALSE,FALSE
"combobox","ss",0.765785236759187,0.40922270788082,0.356562528878367,"both_observed",FALSE,"cdtally_AT",0.134239733176017,0.140068670224348,0.138642311282679,0.139527892240497,-0.0060356292516486,0.0186049574668024,0.0664587435451726,0.213267804936344,0.143294723942023,0.134239733176017,0.140068670224348,"all_positive",FALSE,FALSE
"wb_t_f","ss",0.193370505421491,0.0813792316569044,0.111991273764587,"both_observed",FALSE,"cdtally_AT",0.0191988182244863,0.020580279733936,0.0195167666698208,0.0199671814912493,-0.0060356292516486,0.0272375022964158,0.0664587435451726,0.106859434814426,0.00513183895016044,0.0191988182244863,0.020580279733936,"all_positive",FALSE,FALSE
"wb_t_b","ss",0.219538497842394,0.130849899437359,0.088688598405035,"both_observed",FALSE,"cdtally_AT",0.0125780352877526,0.0139728320191582,0.0110356684350146,0.0123019764711705,-0.0060356292516486,0.0250985520528986,0.0664587435451726,0.0980997016341752,-0.00941110322914024,0.0110356684350146,0.0139728320191582,"all_positive",FALSE,FALSE
"wb_t_ho","ss",0.174168173020005,0.0676668586919432,0.106501314328062,"both_observed",FALSE,"cdtally_AT",0.00595255134799985,0.00674772954594831,0.00391036384851307,0.00548188912949678,-0.0060356292516486,0.0248081302364554,0.0664587435451726,0.0911837958779793,0.0153175184500825,0.00391036384851307,0.00674772954594831,"all_positive",FALSE,FALSE
"keypress","ss",0.101744906004894,0.0986832964664579,0.00306160953843609,"both_observed",FALSE,"cdtally_AT",-0.0118782196378296,-0.0119028963762738,-0.0139505424858998,-0.0124434328593717,-0.0060356292516486,0.00785531873934244,0.0664587435451726,0.0564002133950369,-0.0533386038566008,-0.0139505424858998,-0.0118782196378296,"all_negative",FALSE,FALSE
"wb_f","ss",0.331203256315221,0.177733551988303,0.153469704326918,"both_observed",FALSE,"cdtally_AT",0.0542334826488288,0.0571697571949034,0.0548342450001314,0.0564959481442435,-0.0060356292516486,0.0283670900268097,0.0664587435451726,0.143023686969163,0.0104460173577554,0.0542334826488288,0.0571697571949034,"all_positive",FALSE,FALSE
"so_c","ss",0.0631037453872827,0.264272456059121,-0.201168710671838,"both_observed",FALSE,"cdtally_AT",-0.136332676207417,-0.133734007886951,-0.139256512543883,-0.137283511079417,-0.0060356292516486,-0.00326854348910423,0.0664587435451726,-0.0791781054029975,-0.121990605268841,-0.139256512543883,-0.133734007886951,"all_negative",FALSE,FALSE
"wb_t_h","ss",0.237787039636481,0.0972486188199754,0.140538420816506,"both_observed",FALSE,"cdtally_AT",0.0433165694558943,0.0453368823797023,0.0441889892958293,0.0465226947631738,-0.0060356292516486,0.0256441418178028,0.0664587435451726,0.129383825567221,0.0111545952492844,0.0433165694558943,0.0465226947631738,"all_positive",FALSE,FALSE
"ss_data","ss",0.00786923132486435,0,0.00786923132486435,"A_only_edge",FALSE,"cdtally_AT",-0.0378411594324284,-0.0369275857799652,-0.0358070296588438,-0.0367575124315279,-0.0060356292516486,-0.00760636781739942,0.0664587435451726,0.0149755870436962,-0.00710635571883183,-0.0378411594324284,-0.0358070296588438,"all_negative",TRUE,FALSE
"so","ss",0.00359690474095628,0,0.00359690474095628,"A_only_edge",FALSE,"cdtally_AT",-0.0402127245411452,-0.0331559887700754,-0.0377331917669605,-0.0391015277684517,-0.0060356292516486,-0.0141349439506384,0.0664587435451726,0.00607544580174045,-0.00247854106078417,-0.0402127245411452,-0.0331559887700754,"all_negative",TRUE,FALSE
"ss_file","ss",0.0533329193911892,0.0701614813930185,-0.0168285620018293,"both_observed",FALSE,"cdtally_AT",-0.0567779633852081,-0.0532000824622138,-0.0589024761520587,-0.0562851974652737,-0.0060356292516486,-0.00364736048941308,0.0664587435451726,-2.20958109711789e-06,-0.0168263524207322,-0.0589024761520587,-0.0532000824622138,"all_negative",FALSE,FALSE
"split_v","ss",0.21941303974794,0.169761534747113,0.049651505000827,"both_observed",FALSE,"cdtally_AT",-0.0209496797535048,-0.018836890697104,-0.020677209306173,-0.0204887555994646,-0.0060356292516486,0.0103669345075152,0.0664587435451726,0.0498403690475344,-0.00018886404670742,-0.0209496797535048,-0.018836890697104,"all_negative",FALSE,FALSE
"wb_h","ss",0.316831661997009,0.121136622411197,0.195695039585812,"both_observed",FALSE,"cdtally_AT",0.0860251316679688,0.0871517840140884,0.086204733445673,0.0877548319946422,-0.0060356292516486,0.0212918825860098,0.0664587435451726,0.167740128547503,0.0279549110383094,0.0860251316679688,0.0877548319946422,"all_positive",FALSE,FALSE
"wb_t_sch","ss",0.196258705403154,0.0887836849340903,0.107475020469064,"both_observed",FALSE,"cdtally_AT",0.0173511354795238,0.0189395396486707,0.016489529970735,0.0188203515514742,-0.0060356292516486,0.0241703126588231,0.0664587435451726,0.101944562431871,0.00553045803719271,0.016489529970735,0.0189395396486707,"all_positive",FALSE,FALSE
"ss_edit","ss",0.0102010743558145,0,0.0102010743558145,"A_only_edge",FALSE,"cdtally_AT",-0.0229318570025163,-0.0201770990210598,-0.0262507612742386,-0.0213816749533343,-0.0060356292516486,-0.00100533068514092,0.0664587435451726,0.0364859266058668,-0.0262848522500523,-0.0262507612742386,-0.0201770990210598,"all_negative",FALSE,FALSE
"wb_e","ss",0.224811697476964,0.157709818699549,0.067101878777415,"both_observed",FALSE,"cdtally_AT",0.00718178224554917,0.00876259763126269,0.00721758573612804,0.00879927532317278,-0.0060356292516486,0.022545122006679,0.0664587435451726,0.0901500185457522,-0.0230481397683372,0.00718178224554917,0.00879927532317278,"all_positive",FALSE,FALSE
"ss_sch","ss",0.0059225789901808,0,0.0059225789901808,"A_only_edge",FALSE,"cdtally_AT",-0.0242185554739147,-0.0254806739338941,-0.0248647359495685,-0.0264806734603577,-0.0060356292516486,-0.0130804874037999,0.0664587435451726,0.0231240714158095,-0.0172014924256287,-0.0264806734603577,-0.0242185554739147,"all_negative",FALSE,FALSE
"sch_ok","ss",0.0398382073961892,0,0.0398382073961892,"A_only_edge",FALSE,"cdtally_AT",-0.0312273372560762,-0.0264092359827432,-0.03173348546475,-0.028947257127455,-0.0060356292516486,-0.00605583365662048,0.0664587435451726,0.0231399433808274,0.0166982640153618,-0.03173348546475,-0.0264092359827432,"all_negative",FALSE,FALSE
"sch_n","ss",0.0412982600290112,0.0671437130437069,-0.0258454530146957,"both_observed",FALSE,"cdtally_AT",-0.0352404280685939,-0.0300085861478166,-0.0481227981366092,-0.0312411086330351,-0.0060356292516486,-0.0713244649993205,0.0664587435451726,-0.0461417787743903,0.0202963257596946,-0.0481227981366092,-0.0300085861478166,"all_negative",FALSE,FALSE
"split_h","ss",0.202206826085103,0.149412270704573,0.05279455538053,"both_observed",FALSE,"cdtally_AT",-0.0200782887643123,-0.0185517118860599,-0.0206395052625875,-0.0195078495002012,-0.0060356292516486,0.0130595220113932,0.0664587435451726,0.0534043475406049,-0.000609792160074937,-0.0206395052625875,-0.0185517118860599,"all_negative",FALSE,FALSE
"ss_help","ss",0.0580233069759321,0.182625234354933,-0.124601927379001,"both_observed",FALSE,"cdtally_AT",-0.135183901685567,-0.133320519553806,-0.141622068949742,-0.134559479907611,-0.0060356292516486,-0.00566788182275347,0.0664587435451726,-0.0804286692147962,-0.0441732581642047,-0.141622068949742,-0.133320519553806,"all_negative",FALSE,FALSE
"ss_save","ss",0.0713709700922045,0.148400670737438,-0.0770297006452335,"both_observed",FALSE,"cdtally_AT",-0.141888730997996,-0.142510036837384,-0.14453285812791,-0.143534026509818,-0.0060356292516486,-0.00640422653461853,0.0664587435451726,-0.0878698432390909,0.0108401425938574,-0.14453285812791,-0.141888730997996,"all_negative",FALSE,FALSE
"help_a","ss",0.441910799955382,0.199643031576653,0.242267768378729,"both_observed",FALSE,"cdtally_AT",0.0802496650778367,0.0817597377092515,0.0815479981400118,0.0823263347085528,-0.0060356292516486,0.0306290875285986,0.0664587435451726,0.171301866899959,0.0709659014787697,0.0802496650778367,0.0823263347085528,"all_positive",FALSE,FALSE
"save","ss",0.224914898230315,0,0.224914898230315,"A_only_edge",FALSE,"cdtally_AT",0.34800785277655,0.348011392119503,0.364066587145807,0.357396004247249,-0.0060356292516486,-0.148869170911657,0.0664587435451726,0.259561796158417,-0.0346468979281023,0.34800785277655,0.364066587145807,"all_positive",FALSE,FALSE
"wb_book","ss",0.339674424057837,0.0652036027488799,0.274470821308957,"both_observed",FALSE,"cdtally_AT",0.114343218775566,0.119186133390427,0.118564574507872,0.121341434491758,-0.0060356292516486,0.0361252126826314,0.0664587435451726,0.210891545751722,0.0635792755572354,0.114343218775566,0.121341434491758,"all_positive",FALSE,FALSE
"ss","ss_so",0.0935529482178585,0.0337154417773949,0.0598375064404636,"both_observed",FALSE,"cdtally_AT",0.0117427851829775,0.0130764052486505,0.0119469060105207,0.0121303168098282,-0.0060356292516486,-0.00634589156573483,0.0249739322560559,0.02433519662165,0.0355023098188136,0.0117427851829775,0.0130764052486505,"all_positive",FALSE,TRUE
"so_ok","ss_so",0.0372109024309892,0.109981024075317,-0.0727701216443278,"both_observed",TRUE,"cdtally_AT",-0.0172641604708082,-0.0183209202821214,-0.0142884844186453,-0.0168673105683852,-0.0060356292516486,-0.00129391860686285,0.0249739322560559,0.000380223926736267,-0.0731503455710641,-0.0183209202821214,-0.0142884844186453,"all_negative",TRUE,TRUE
