"num","state_name","AT","BE","DE","DK","EE","FI","GB","IE","KR","NL","NO","PL","SK","US"
80,"copy",80,74,77,75,77,78,76,77,78,75,78,78,76,77
81,"paste",81,75,78,76,78,79,77,78,79,76,79,79,NA,78
82,"wb_book_a_ok",82,76,79,77,79,80,78,79,80,77,80,80,77,79
83,"wb_pg_4_1",83,NA,80,78,80,81,79,80,81,78,81,81,78,80
84,"wb_pg_4_2",84,NA,81,79,81,82,80,81,82,79,82,82,79,81
85,"wb_pg_4_3",85,77,82,80,82,83,81,82,83,80,83,83,80,82
86,"em_move",86,NA,83,81,83,84,82,83,84,81,84,84,81,83
87,"em_move_c",87,NA,84,NA,NA,85,83,84,85,82,85,NA,82,84
88,"em_for",88,78,85,82,84,86,84,85,86,83,86,85,83,85
89,"em_re",89,79,86,83,85,87,85,86,87,84,87,86,84,86
90,"splithorizontal",90,80,87,84,86,88,86,87,88,85,88,87,85,87
91,"em_sch",91,81,88,85,87,89,87,88,89,86,89,88,86,88
92,"em_sch_ok",92,82,89,86,88,90,88,89,NA,87,90,89,87,89
93,"book",93,83,90,87,89,91,89,90,90,88,91,90,88,90
94,"em_cut",94,84,NA,NA,NA,92,NA,NA,NA,NA,92,91,89,NA
95,"splitvertical",95,85,91,88,90,93,90,91,91,89,93,92,90,91
96,"em_add_f",96,NA,NA,NA,91,NA,NA,NA,92,90,NA,93,91,NA
97,"em_add_f_ok",97,NA,NA,NA,NA,NA,NA,NA,93,NA,NA,NA,NA,NA
98,"em_add_f_c",98,NA,NA,NA,NA,NA,NA,NA,94,91,NA,94,92,NA
99,"em_m_drag",99,86,92,89,92,94,91,92,95,92,94,95,93,92
100,"em_f_unfold",100,NA,93,90,93,95,92,93,96,93,95,96,94,93
101,"em_m_view_0",101,NA,94,NA,94,NA,NA,94,97,NA,NA,97,95,NA
102,"wb_pg_pop4",102,87,95,91,95,96,93,95,98,94,96,98,96,94
103,"wb_pg_8_4_reason_3",103,88,96,92,96,97,94,96,99,95,97,99,97,95
104,"wb_sch",104,89,97,93,97,98,95,97,100,96,98,100,98,96
105,"em_m_drop",105,NA,98,94,98,99,96,98,101,NA,99,NA,99,97
106,"em_m_move",106,NA,99,95,99,100,97,99,102,NA,100,101,100,98
107,"em_f_fold",107,NA,100,96,100,101,98,100,103,97,101,102,101,NA
108,"wb_book_m",108,NA,101,NA,101,NA,99,101,104,NA,NA,NA,102,99
109,"wb_pg_8_4_request_3",109,NA,102,97,NA,NA,NA,NA,105,NA,NA,103,103,NA
110,"em_re_a",NA,90,103,98,102,102,100,102,106,NA,102,104,104,100
111,"em_so_c",NA,91,NA,NA,NA,NA,NA,NA,107,98,103,NA,NA,101
112,"wb_book_m_c",NA,NA,104,NA,103,NA,NA,NA,NA,NA,NA,NA,NA,102
113,"em_move_ok",NA,NA,105,99,104,103,101,103,108,NA,104,105,105,NA
114,"wb_pg_8_4_reason_5",NA,NA,106,NA,105,NA,102,104,109,NA,105,106,106,NA
115,"em_trash",NA,NA,NA,100,NA,104,103,NA,110,99,NA,107,107,103
116,"wb_pg_8_4_request_5",NA,NA,NA,101,NA,NA,NA,105,NA,100,NA,NA,108,NA
117,"em_m_del",NA,NA,NA,102,106,NA,NA,NA,111,101,NA,108,109,NA
118,"breakoff",NA,NA,NA,NA,NA,105,NA,NA,NA,NA,NA,NA,NA,NA
119,"wb_pg_8_4_reason_2",NA,NA,NA,NA,NA,106,104,NA,112,102,106,109,110,NA
120,"em_del_f",NA,NA,NA,NA,NA,107,NA,NA,NA,NA,107,NA,NA,NA
121,"em_del_f_ok",NA,NA,NA,NA,NA,108,NA,NA,NA,NA,108,NA,NA,NA
122,"em_del_f_c",NA,NA,NA,NA,NA,109,NA,NA,NA,NA,109,NA,NA,NA
123,"em_move_f",NA,NA,NA,NA,NA,NA,NA,NA,113,NA,NA,NA,NA,NA
124,"wb_pg_8_4_request_0",NA,NA,NA,NA,NA,NA,NA,NA,114,103,110,NA,NA,NA
125,"wb_book_v",NA,NA,NA,NA,NA,NA,NA,NA,115,NA,NA,NA,111,NA
126,"wb_book_m_ok",NA,NA,NA,NA,NA,NA,NA,NA,116,NA,NA,NA,112,NA
